site_id,latitude,longitude,name,postcode,suburb,display_brand,brand
61401436,-27.566916,153.064574,NightOwl BP Sunnybank,4109,"Sunnybank, Robertson, Altandi, Macgregor, Sunnybank Hills, Sunnybank South, Banoon",🟢 BP,BP
61401438,-27.575889,153.062992,Shell Reddy Express Sunnybank,4109,"Sunnybank, Robertson, Altandi, Macgregor, Sunnybank Hills, Sunnybank South, Banoon",🟡 Shell,Shell
61401440,-27.57032397205679,153.055617,Metro Petroleum Sunnybank,4109,"Sunnybank, Robertson, Altandi, Macgregor, Sunnybank Hills, Sunnybank South, Banoon",⛽ Independent,Independent
61401441,-27.589068,153.027286,7-Eleven Acacia Ridge,4110,"Acacia Ridge, Acacia Ridge Bc, Acacia Ridge Dc, Heathwood Df, Willawong, Larapinta, Heathwood, Pallara",🟠 7-Eleven,7-Eleven
61401444,-27.575428,153.039586,7-Eleven Acacia Ridge East,4110,"Acacia Ridge, Acacia Ridge Bc, Acacia Ridge Dc, Heathwood Df, Willawong, Larapinta, Heathwood, Pallara",🟠 7-Eleven,7-Eleven
61401445,-27.556364,153.089765,7-Eleven Wishart,4122,"Mount Gravatt East, Upper Mount Gravatt, Mansfield, Mount Gravatt, Upper Mount Gravatt Bc, Mansfield Dc, Mansfield Bc, Wishart",🟠 7-Eleven,7-Eleven
61401446,-27.561518,153.089268,BP Wishart,4122,"Mount Gravatt East, Upper Mount Gravatt, Mansfield, Mount Gravatt, Upper Mount Gravatt Bc, Mansfield Dc, Mansfield Bc, Wishart",🟢 BP,BP
61401447,-27.562252,153.074394,EG Ampol Macgregor,4109,"Sunnybank, Robertson, Altandi, Macgregor, Sunnybank Hills, Sunnybank South, Banoon",🔴 Ampol,Ampol
61401448,-27.561152,153.078726,Shell Reddy Express Kessels Rd,4122,"Mount Gravatt East, Upper Mount Gravatt, Mansfield, Mount Gravatt, Upper Mount Gravatt Bc, Mansfield Dc, Mansfield Bc, Wishart",🟡 Shell,Shell
61401450,-27.575212,153.091639,Caltex Eight Mile Plains,4113,"Fruitgrove, Runcorn, Eight Mile Plains",🔴 Ampol,Ampol
61401453,-27.598823,153.109346,OOM Energy Underwood,4119,Underwood,⛽ Independent,Independent
61401457,-27.603119,152.761629,7-Eleven North Ipswich,4305,"Coalfalls, Ipswich, West Ipswich, Eastern Heights, North Ipswich, Woodend, Newtown, North Tivoli, Leichhardt, Basin Pocket, Bremer, Raceview, Yamanto, Raymonds Hill, Brassall Heights, Churchill, Tivoli, One Mile, Limestone Ridges, Brassall, Flinders View, East Ipswich, Moores Pocket, Wulkuraka, Sadliers Crossing",🟠 7-Eleven,7-Eleven
61401460,-27.598004,152.832107,7-Eleven Dinmore,4303,"Riverview, New Chum, Dinmore",🟠 7-Eleven,7-Eleven
61401461,-27.601119,152.826338,Freedom Fuels Ipswich,4304,"North Booval, Ebbw Vale, Booval Fair, Silkstone, Booval Dc, Bundamba, Blackstone, Booval, Booval Bc",⛽ Independent,Independent
61401462,-27.608598,152.897931,Ampol Foodary Goodna,4300,"Camira, Springfield, Opossum Creek, Bellbird Park, Goodna Dc, Gailes, Springfield Central, Carole Park, Springfield Lakes, Spring Mountain, Goodna East, Goodna, Augustine Heights, Brookwater",🔴 Ampol,Ampol
61401471,-27.612647,153.039653,7-Eleven Algester,4115,"Parkinson, Algester",🟠 7-Eleven,7-Eleven
61401472,-27.61142680060479,153.0635548637543,Caltex Stretton,4116,"Calamvale, Drewvale, Stretton",🔴 Ampol,Ampol
61401473,-27.624443,153.116876,Shell Reddy Express Woodridge,4114,"Logan Central, Woodridge East, Trinder Park, Logan City Dc, Logan City Bc, Woodridge, Kingston",🟡 Shell,Shell
61401477,-27.61011953521952,153.12405772883605,7-Eleven Springwood,4127,"Daisy Hill, Slacks Creek, Springwood, Springwood Bc, Chatswood Hills, Priestdale",🟠 7-Eleven,7-Eleven
61401478,-27.63364586120715,153.13148941964337,Shell Reddy Express Springwood,4127,"Daisy Hill, Slacks Creek, Springwood, Springwood Bc, Chatswood Hills, Priestdale",🟡 Shell,Shell
61401479,-27.619142,153.104903,7-Eleven Woodridge,4114,"Logan Central, Woodridge East, Trinder Park, Logan City Dc, Logan City Bc, Woodridge, Kingston",🟠 7-Eleven,7-Eleven
61401480,-27.644857,153.153469,Shell Reddy Express Daisy Hill,4127,"Daisy Hill, Slacks Creek, Springwood, Springwood Bc, Chatswood Hills, Priestdale",🟡 Shell,Shell
61401483,-27.641222,153.107393,7-Eleven Logan City,4114,"Logan Central, Woodridge East, Trinder Park, Logan City Dc, Logan City Bc, Woodridge, Kingston",🟠 7-Eleven,7-Eleven
61401485,-27.637353,153.239623,BP Mt Cotton,4165,"Mount Cotton, Redland Bay, Victoria Point West, Point Talburpin, Point Halloran, Victoria Point",🟢 BP,BP
61401487,-27.606017,153.288087,BP Redland Bay,4165,"Mount Cotton, Redland Bay, Victoria Point West, Point Talburpin, Point Halloran, Victoria Point",🟢 BP,BP
61401492,-27.619048,152.749764,Metro West Ipswich,4305,"Coalfalls, Ipswich, West Ipswich, Eastern Heights, North Ipswich, Woodend, Newtown, North Tivoli, Leichhardt, Basin Pocket, Bremer, Raceview, Yamanto, Raymonds Hill, Brassall Heights, Churchill, Tivoli, One Mile, Limestone Ridges, Brassall, Flinders View, East Ipswich, Moores Pocket, Wulkuraka, Sadliers Crossing",⛽ Independent,Independent
61401496,-27.627612,152.743589,Ampol Foodary Leichhardt,4305,"Coalfalls, Ipswich, West Ipswich, Eastern Heights, North Ipswich, Woodend, Newtown, North Tivoli, Leichhardt, Basin Pocket, Bremer, Raceview, Yamanto, Raymonds Hill, Brassall Heights, Churchill, Tivoli, One Mile, Limestone Ridges, Brassall, Flinders View, East Ipswich, Moores Pocket, Wulkuraka, Sadliers Crossing",🔴 Ampol,Ampol
61401497,-27.64406360751769,152.75105032638933,Pacific Petroleum Churchill,4305,"Coalfalls, Ipswich, West Ipswich, Eastern Heights, North Ipswich, Woodend, Newtown, North Tivoli, Leichhardt, Basin Pocket, Bremer, Raceview, Yamanto, Raymonds Hill, Brassall Heights, Churchill, Tivoli, One Mile, Limestone Ridges, Brassall, Flinders View, East Ipswich, Moores Pocket, Wulkuraka, Sadliers Crossing",⛽ Independent,Independent
61401500,-27.613641,152.792314,Ampol Foodary Booval,4304,"North Booval, Ebbw Vale, Booval Fair, Silkstone, Booval Dc, Bundamba, Blackstone, Booval, Booval Bc",🔴 Ampol,Ampol
61401502,-27.621481,152.789444,Metco Silkstone,4304,"North Booval, Ebbw Vale, Booval Fair, Silkstone, Booval Dc, Bundamba, Blackstone, Booval, Booval Bc",⛽ Independent,Independent
61401505,-27.6552275199991,152.74757596772153,United Yamanto,4305,"Coalfalls, Ipswich, West Ipswich, Eastern Heights, North Ipswich, Woodend, Newtown, North Tivoli, Leichhardt, Basin Pocket, Bremer, Raceview, Yamanto, Raymonds Hill, Brassall Heights, Churchill, Tivoli, One Mile, Limestone Ridges, Brassall, Flinders View, East Ipswich, Moores Pocket, Wulkuraka, Sadliers Crossing",🔵 United,United
61401506,-27.660285,152.740233,BP Yamanto,4305,"Coalfalls, Ipswich, West Ipswich, Eastern Heights, North Ipswich, Woodend, Newtown, North Tivoli, Leichhardt, Basin Pocket, Bremer, Raceview, Yamanto, Raymonds Hill, Brassall Heights, Churchill, Tivoli, One Mile, Limestone Ridges, Brassall, Flinders View, East Ipswich, Moores Pocket, Wulkuraka, Sadliers Crossing",🟢 BP,BP
61401507,-27.660171,152.739296,Shell Reddy Express Yamanto,4305,"Coalfalls, Ipswich, West Ipswich, Eastern Heights, North Ipswich, Woodend, Newtown, North Tivoli, Leichhardt, Basin Pocket, Bremer, Raceview, Yamanto, Raymonds Hill, Brassall Heights, Churchill, Tivoli, One Mile, Limestone Ridges, Brassall, Flinders View, East Ipswich, Moores Pocket, Wulkuraka, Sadliers Crossing",🟡 Shell,Shell
61401508,-27.644962,152.871677,7-Eleven Redbank Plains,4301,"Collingwood Park, Redbank, Redbank Plains, Greenwood Village",🟠 7-Eleven,7-Eleven
61401510,-27.658841,153.116903,Speed Fuel Kingston,4114,"Logan Central, Woodridge East, Trinder Park, Logan City Dc, Logan City Bc, Woodridge, Kingston",⛽ Independent,Independent
61401512,-27.680481,153.114522,7-Eleven Marsden,4132,"Marsden, Marsden Postal Depot, Crestmead Dc, Crestmead",🟠 7-Eleven,7-Eleven
61401514,-27.691549,153.134431,Ampol Foodary Waterford,4133,"Chambers Flat, Logan Reserve, Waterford West, Waterford",🔴 Ampol,Ampol
61401517,-27.663192,153.177483,Shell Reddy Express Loganholme,4129,"Loganholme Dc, Logandale, Loganholme Bc, Loganholme",🟡 Shell,Shell
